// "Move Name" Type MoveType Damage PP Accuracy SecondaryChance EffectID

"Quick Attack" 0 0 40 30 100 100 0
"Body Slam" 0 0 85 15 100 30 2
"Facade" 0 0 70 20 100 100 21
"Explosion" 0 0 250 5 100 100 18
"Flamethrower" 1 1 90 15 100 10 1
"Fire Punch" 1 0 75 15 100 10 1
"Scald" 2 1 80 15 100 30 1
"Surf" 2 1 90 15 100 100 31
"Hydro Pump" 2 1 110 5 80 100 31
"Aqua Tail" 2 0 90 10 90 100 31
"Volt Tackle" 3 0 120 15 100 100 6
"Thunderbolt" 3 1 90 15 100 10 2
"Thunder Punch" 3 0 75 15 100 10 2
"Giga Drain" 4 1 75 10 100 100 7
"Energy Ball" 4 1 90 10 100 10 8
"Ice Beam" 5 1 90 10 100 10 5
"Ice Fang" 5 0 65 15 95 10 23
"Ice Punch" 5 0 75 15 100 10 5
"Focus Blast" 6 1 120 5 70 10 8
"Aura Sphere" 6 1 80 20 101 100 31
"Dynamic Punch" 6 0 100 5 50 100 10
"Brick Break" 6 0 75 15 100 100 27
"Sludge Bomb" 7 1 90 10 100 30 3
"Poison Jab" 7 0 80 20 100 30 3
"Earthquake" 8 0 100 10 100 100 31
"Drill Run" 8 0 80 10 95 100 19
"Air Slash" 9 1 75 15 95 30 9
"Brave Bird" 9 0 120 15 100 100 6
"Wing Attack" 9 0 60 35 100 100 31
"Psychic" 10 1 90 10 100 10 8
"Psyshock" 10 1 80 10 100 100 24
"Signal Beam" 11 1 75 15 100 10 10
"Bug Buzz" 11 1 90 10 100 10 8
"X-Scissor" 11 0 80 15 100 100 31
"Rock Slide" 12 0 75 10 90 30 9
"Stone Edge" 12 0 100 5 80 100 19
"Shadow Ball" 13 1 80 15 100 20 8
"Dragon Pulse" 14 1 85 10 100 100 31
"Outrage" 14 0 120 10 100 50 10

"Will-O-Wisp" 1 2 0 15 85 100 1
"Sunny Day" 1 2 0 5 101 100 11
"Thunder Wave" 3 2 0 20 90 100 2
"Sleep Powder" 4 2 0 15 75 100 4
"Leech Seed" 4 2 0 10 90 100 12
"Synthesis" 4 2 0 5 101 100 13
"Toxic" 7 2 0 10 90 100 3
"Roost" 9 2 0 10 101 100 14
"Reflect" 10 2 0 20 101 100 15
"Light Screen" 10 2 0 30 101 100 16
"Agility" 10 2 0 30 101 100 20
"Rest" 10 2 0 10 101 100 17
"Calm Mind" 10 2 0 20 101 100 25
"Quiver Dance" 11 2 0 20 101 100 26
"Rock Polish" 12 2 0 20 101 100 20
"Curse" 13 2 0 10 101 100 28
"Dragon Dance" 14 2 0 20 101 100 22
"Recover" 0 2 0 10 101 100 29
"Bulk Up" 6 2 0 20 101 100 30
